suite_name,config_name,label,fold,symbol,accuracy,precision,recall,f1,balanced_accuracy,roc_auc,cumulative_return,sharpe,max_drawdown,turnover,hit_rate,cost_adjusted_return
long_history_cnn_full_ablation,cnn_ohlcv_funding,1D CNN (OHLCV + Funding),1,ETHUSDT,0.49399457574583494,0.5185185185185185,0.010711553175210406,0.020989505247376312,0.5002537357712786,0.5159580281998032,-0.1580252658453355,-0.06813077391889079,-0.46941285045778836,0.0065865943432778,0.49283223556760947,-3.449746130608495e-05
long_history_cnn_full_ablation,cnn_ohlcv_funding,1D CNN (OHLCV + Funding),1,SOLUSDT,0.4941860465116279,0.5235602094240838,0.076103500761035,0.132890365448505,0.5021117819760941,0.5263723276610377,-0.27733578094797573,-0.10314171058560422,-0.6630041928266639,0.01744186046511628,0.4906976744186046,-6.910869701494847e-05
long_history_cnn_full_ablation,cnn_ohlcv_funding,1D CNN (OHLCV + Funding),2,BTCUSDT,0.5005811700891127,0.5005811700891127,1.0,0.6671830622256648,0.5,0.49998168594946046,0.1390850782044315,0.18955488620483135,-0.2552971144887145,0.0003874467260751647,0.5005811700891127,6.553391461815003e-05
long_history_cnn_full_ablation,cnn_ohlcv_funding,1D CNN (OHLCV + Funding),2,ETHUSDT,0.5,0.5172155688622755,0.5172155688622755,0.5172155688622755,0.49936341144078406,0.4990026979802453,-0.04723612318358017,0.034328703524157386,-0.45476207005690406,0.05852713178294574,0.4996124031007752,1.866757618192858e-05
long_history_cnn_full_ablation,cnn_ohlcv_funding,1D CNN (OHLCV + Funding),2,SOLUSDT,0.4974815962805114,0.498324557204404,0.8069767441860465,0.6161586268126664,0.4976014627204438,0.4853511790031164,0.5179514928199627,0.3322869064695889,-0.42106639187007977,0.049980627663696243,0.4967067028283611,0.00021336984095469676
long_history_cnn_full_ablation,cnn_ohlcv_funding,1D CNN (OHLCV + Funding),3,BTCUSDT,0.5042635658914729,0.5042635658914729,1.0,0.6704457614017006,0.5,0.49509278662771583,0.07918218455013637,0.16402564495700772,-0.15374119744424974,0.0003875968992248062,0.5042635658914729,3.54045053580967e-05
long_history_cnn_full_ablation,cnn_ohlcv_funding,1D CNN (OHLCV + Funding),3,ETHUSDT,0.5178156467854377,0.51762882603642,1.0,0.6821547102374266,0.5004012841091493,0.5002117554617891,0.7852065808810156,0.5736425920421779,-0.26626815057197506,0.0019364833462432224,0.5178156467854377,0.0002480025039266062
long_history_cnn_full_ablation,cnn_ohlcv_funding,1D CNN (OHLCV + Funding),3,SOLUSDT,0.515304145679969,0.515304145679969,1.0,0.6801329583226796,0.5,0.511286910321367,0.4142397313693942,0.33897473788454524,-0.2872558924439049,0.0003874467260751647,0.515304145679969,0.00016367908713776937
long_history_cnn_full_ablation,cnn_ohlcv_funding,1D CNN (OHLCV + Funding),4,BTCUSDT,0.49806201550387597,0.49806201550387597,1.0,0.6649417852522639,0.5,0.5083827351531631,-0.23585740487698492,-0.3191191454658439,-0.3818138617893292,0.0003875968992248062,0.49806201550387597,-9.344111275303304e-05
long_history_cnn_full_ablation,cnn_ohlcv_funding,1D CNN (OHLCV + Funding),4,ETHUSDT,0.49283223556760947,0.487152034261242,0.3540856031128405,0.41009463722397477,0.4922434188403708,0.49875342268338374,-0.2995062550271185,-0.2508668739139236,-0.6442425571677958,0.043781480046493605,0.49283223556760947,-0.00011253713203020592
